id,title,question,answer,category,type,difficulty,audience
1,What are the policies regarding technology usage?,What are the policies regarding technology usage?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Administrative Procedures,faq,basic,faculty
2,How can I access transportation services?,How can I access transportation services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Administrative Procedures,faq,intermediate,undergraduate
3,What is the cost of library services?,What is the cost of library services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Research Guidelines,faq,advanced,all_students
4,How do I cancel library services?,How do I cancel library services?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Academic Resources,faq,advanced,faculty
5,What is the cost of tutoring?,What is the cost of tutoring?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,advanced,undergraduate
6,How can I update academic record?,How can I update academic record?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Academic Resources,faq,advanced,all_students
7,What are the policies regarding technology usage?,What are the policies regarding technology usage?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,International Students,faq,advanced,undergraduate
8,How can I update payment method?,How can I update payment method?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. For technical issues, students should first try basic troubleshooting steps including clearing browser cache and checking internet connectivity. If problems persist, submit a help desk ticket with detailed error messages and screenshots.",Technical Support,faq,advanced,faculty
9,How do I reset my password?,How do I reset my password?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Campus Life,faq,basic,all_students
10,How can I update academic record?,How can I update academic record?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Student Support,faq,intermediate,faculty
11,How do I schedule health services?,How do I schedule health services?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,International Students,faq,basic,all_students
12,Where is the gym located?,Where is the gym located?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Registration,faq,basic,undergraduate
13,What are the steps to schedule an appointment?,What are the steps to schedule an appointment?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Online Learning,faq,advanced,faculty
14,How do I request parking?,How do I request parking?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Career Development,faq,advanced,faculty
15,Where do I get information about technology usage?,Where do I get information about technology usage?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Registration,faq,advanced,graduate
16,What is the cost of library services?,What is the cost of library services?,This procedure requires advance planning and proper documentation. Students should review all requirements carefully and submit applications before established deadlines. Late submissions may not be accepted or may incur additional fees. Additional information and support resources are available through the appropriate university department or office.,Student Support,faq,intermediate,all_students
17,What are the policies regarding technology usage?,What are the policies regarding technology usage?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Academic Planning,faq,basic,faculty
18,Where can I find financial aid office?,Where can I find financial aid office?,"The university provides comprehensive support for this process through multiple channels. Students can access resources online, schedule appointments with advisors, or attend information sessions held throughout the year. Additional information and support resources are available through the appropriate university department or office.",Health & Wellness,faq,advanced,undergraduate
19,What are the hours for library services?,What are the hours for library services?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Student Services,faq,basic,all_students
20,How can I access student organizations list?,How can I access student organizations list?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Administrative Procedures,faq,advanced,faculty
21,What are the steps to access course materials?,What are the steps to access course materials?,This service is available through the university website and student portal. Students must meet certain eligibility requirements and provide necessary documentation. Processing times vary depending on the request complexity. Additional information and support resources are available through the appropriate university department or office.,Health & Wellness,faq,advanced,faculty
22,How do I apply for scholarships?,How do I apply for scholarships?,"To complete this process, students should first log into the student portal and navigate to the appropriate section. Detailed instructions and forms are available online. For additional assistance, contact the relevant department during business hours. Additional information and support resources are available through the appropriate university department or office.",Event Management,faq,advanced,graduate
23,What are the hours for library services?,What are the hours for library services?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Health & Wellness,faq,advanced,all_students
24,What are the requirements for graduation application?,What are the requirements for graduation application?,Students can complete this process independently through online systems or with assistance from university staff. Training materials and video tutorials are available to guide students through each step of the process. Additional information and support resources are available through the appropriate university department or office.,Event Management,faq,basic,graduate
